nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,82.0,9.2,18.5,90.9,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,9.4,18.7,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,10.3,18.6,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,10.9,18.8,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,89.0,10.6,18.2,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,8.8,18.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,9.0,18.7,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,9.6,18.9,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.2,18.6,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,10.0,18.3,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.2,18.6,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,11.1,19.6,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,9.9,18.8,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,9.2,18.5,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,9.4,19.0,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,9.6,18.1,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,9.0,18.1,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.0,18.9,90.2,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,10.3,18.2,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,86.0,10.2,18.4,90.1,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.2,18.6,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,80.0,10.4,18.6,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,83.0,10.8,19.0,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,88.0,9.6,18.7,89.9,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,87.0,10.4,18.7,89.9,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,83.0,10.5,18.7,89.9,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,9.2,18.3,90.0,7.1,0.8,
