nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,65.0,6.0,9.5,87.9,6.9,1.0,
GUSNAWEB,Intel Core i5-8350U,55.0,1.9,5.4,87.7,6.9,1.0,
GUSNAWEB,Intel Core i5-8350U,60.0,10.0,18.8,88.2,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,69.0,13.7,18.5,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,76.0,10.8,14.1,95.8,7.5,0.3,
GUSNAWEB,Intel Core i5-8350U,63.0,5.4,7.6,95.1,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,61.0,5.6,7.6,95.3,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,60.0,1.4,2.5,95.2,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,64.0,11.8,15.9,95.1,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,80.0,10.4,22.2,95.4,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,83.0,10.0,17.7,95.4,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,73.0,20.7,25.0,95.5,7.5,0.4,
GUSNAWEB,Intel Core i5-8350U,82.0,19.7,23.8,86.7,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,86.0,12.8,18.6,86.7,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,83.0,12.9,15.2,86.6,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,75.0,12.1,14.6,86.6,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,80.0,11.4,14.9,86.6,6.8,1.1,
GUSNAWEB,Intel Core i5-8350U,85.0,19.4,26.7,87.1,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,84.0,16.5,18.4,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,86.0,7.8,13.1,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,85.0,11.3,15.1,87.0,6.8,1.0,
GUSNAWEB,Intel Core i5-8350U,84.0,30.8,25.5,88.1,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,75.0,16.3,21.4,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,76.0,10.8,16.9,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,83.0,12.3,16.2,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,11.3,16.0,89.0,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,87.0,13.5,18.8,88.1,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,13.5,17.3,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,91.0,11.7,17.3,88.7,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,89.0,19.2,24.8,88.8,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,95.0,19.3,23.5,88.8,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,91.0,20.1,23.4,88.8,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,94.0,24.0,26.1,88.8,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,93.0,19.4,24.1,89.1,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,87.0,19.2,22.2,89.5,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,89.0,22.2,23.1,89.9,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,82.0,13.4,20.9,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,63.0,5.9,7.1,88.0,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,67.0,21.3,18.3,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,72.0,11.2,13.1,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,65.0,7.4,9.3,90.8,7.1,0.7,
